OBJECTID,INCKEY,COLDETKEY,ADDRTYPE,COLLISIONTYPE,DISTANCE,EXCEPTRSNCODE,EXCEPTRSNDESC,FATALITIES,INATTENTIONIND,INCDATE,INCDTTM,INJURIES,INTKEY,JUNCTIONTYPE,LIGHTCOND,Lightcode,LOCATION,PEDCOUNT,PEDCYLCOUNT,PEDROWNOTGRNT,PERSONCOUNT,REPORTNO,ROADCOND,roadcode,SDOT_COLCODE,SDOT_COLDESC,SDOTCOLNUM,SEGKEY,SERIOUSINJURIES,SEVERITYCODE,SEVERITYDESC,SPEEDING,ST_COLCODE,ST_COLDESC,STATUS,UNDERINFL,VEHCOUNT,WEATHER,Shape,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR,SPDCASENO
412,115649,115649,Intersection,Cycles,0, ,,0,,12/19/2010 12:00:00 AM +0000,12/19/2010 23:00,1,27077,At Intersection (intersection related),Dark - Street Lights On,1,UNIVERSITY WAY NE AND NE 43RD ST,0,1,,2,3561777,Wet,2,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10353007,13221,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Raining," 47.65979512000007, -122.31316833599999 ",0,524563,N,2010-436563
450,115793,115793,Intersection,Cycles,0,,,0,,05/17/2010 12:00:00 AM +0000,5/17/2010 20:11,1,29591,At Intersection (intersection related),Daylight,3,3RD AVE AND UNION ST,0,1,,2,3344868,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10137002,4383,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.608756225000036, -122.33688460299999 ",35825,0,N,10-162289
470,115929,115929,Block,Cycles,165,,,0,,05/14/2010 12:00:00 AM +0000,5/14/2010 20:25,1,,Mid-Block (not related to intersection),Dusk,4,N 105TH ST BETWEEN WHITMAN AVE N AND AURORA AVE N,0,1,,1,3198535,Dry,1,69,PEDALCYCLIST OVERTURNED IN ROAD,10134005,15018,0,2,Injury Collision,,45,Bicycle,Matched,0,0,Clear or Partly Cloudy," 47.70505326300008, -122.34536647199997 ",18890,0,N,2010-158492
472,115924,115924,Intersection,Cycles,0,,,0,,09/25/2010 12:00:00 AM +0000,9/25/2010 18:58,1,35825,At Intersection (intersection related),Dusk,4,FREMONT AVE N AND N 130TH ST,0,1,Y,2,3375032,Dry,1,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",10268026,15160,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.723222932000056, -122.35036146999994 ",9611,0,N,10-336028
577,115380,115380,Intersection,Cycles,0,,,0,,11/05/2010 12:00:00 AM +0000,11/5/2010 13:41,1,25793,At Intersection (intersection related),Daylight,3,UNIVERSITY WAY NE AND NE 50TH ST,0,1,,3,3559010,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10309046,13224,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Overcast," 47.66490072400006, -122.31307415999999 ",5631,0,N,2010-386970
625,114568,114568,Block,Cycles,153,,,0,,08/21/2010 12:00:00 AM +0000,8/21/2010 14:50,0,,Mid-Block (not related to intersection),Unknown,5,WESTERN AVE BETWEEN SPRING ST AND SENECA ST,0,1,Y,2,3330337,Unknown,5,0,NOT ENOUGH INFORMATION / NOT APPLICABLE,10233021,13500,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Unknown," 47.60529909600007, -122.33832642499999 ",12910,0,N,10-294928
648,114291,114291,Intersection,Cycles,0,,,0,,09/14/2010 12:00:00 AM +0000,9/14/2010 16:15,1,24250,At Intersection (intersection related),Daylight,3,STONE AVE N AND N 77TH ST,0,1,,2,3374999,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10257001,12920,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.684760760000074, -122.34179323199999 ",0,0,N,10 32255 9
670,115250,115250,Intersection,Cycles,0, ,,0,,01/03/2010 12:00:00 AM +0000,1/3/2010 20:23,1,27062,At Intersection (intersection related),Dark - Street Lights On,1,UNIVERSITY WAY NE AND NE 45TH ST,0,1,,3,3344131,Wet,2,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10003022,13222,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Raining," 47.661269366000056, -122.31312965799998 ",0,524692,N,2010-3104
689,114841,114841,Intersection,Cycles,0,,,0,,09/15/2010 12:00:00 AM +0000,9/15/2010 7:24,1,29613,At Intersection (intersection related),Daylight,3,2ND AVE AND SPRING ST,0,1,,1,3373640,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10258025,2754,0,2,Injury Collision,,45,Bicycle,Matched,N,0,Clear or Partly Cloudy," 47.605872617000045, -122.33578172399996 ",12144,0,N,10-323319
743,116350,116350,Block,Cycles,213,,,0,,11/02/2010 12:00:00 AM +0000,11/2/2010 17:00,1,,Mid-Block (not related to intersection),Dark - Street Lights On,1,BOREN AVE BETWEEN UNION ST AND PIKE ST,0,1,,2,3383246,Dry,1,54,PEDALCYCLIST STRUCK MOTOR VEHICLE REAR END,10306036,9318,0,2,Injury Collision,Y,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.61296790500006, -122.32845798099999 ",25232,0,N,2010 416371
800,115117,115117,Intersection,Cycles,0,,,0,,12/04/2010 12:00:00 AM +0000,12/4/2010 16:23,1,26793,At Intersection (intersection related),Dusk,4,INTERLAKE AVE N AND N 45TH ST,0,1,Y,3,3559318,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10338029,11012,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.661385583000026, -122.34066246399999 ",6459,0,N,10-419493
819,114983,114983,Intersection,Cycles,0,,,0,,08/09/2010 12:00:00 AM +0000,8/9/2010 17:42,1,30022,At Intersection (intersection related),Daylight,3,M L KING JR WAY AND E UNION ST,0,1,Y,2,3332381,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10221009,11490,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Overcast," 47.61294055900004, -122.29619919499999 ",9486,0,N,10-277042
851,115814,115814,Block,Cycles,217,,,0,,02/10/2010 12:00:00 AM +0000,2/10/2010 8:18,1,,Mid-Block (not related to intersection),Daylight,3,S JACKSON ST BETWEEN 20TH AVE S AND 20TH PL S,0,1,Y,3,3329413,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10041006,20500,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Overcast," 47.59925975700003, -122.30547961699995 ",11048,0,N,10-46781
893,114307,114307,Intersection,Cycles,0, ,,0,,05/12/2010 12:00:00 AM +0000,5/12/2010 20:39,0,25949,At Intersection (intersection related),Daylight,3,25TH AVE NE AND NE BLAKELEY ST,0,1,Y,3,3377103,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10132005,3723,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Overcast," 47.66626671800003, -122.30060497999995 ",0,521604,N,2010-155882
918,114992,114992,Block,Cycles,933,,,0,,05/07/2010 12:00:00 AM +0000,5/7/2010 9:56,1,,Mid-Block (not related to intersection),Daylight,3,LAKE WASHINGTON BLVD S BETWEEN S FRINK PL AND S DEARBORN ST,0,1,,2,3331951,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10127008,11221,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.59811959600006, -122.290152595 ",41006,0,N,10-148900
920,114990,114990,Intersection,Cycles,0,,,0,,01/10/2010 12:00:00 AM +0000,1/10/2010 12:57,1,28605,At Intersection (intersection related),Daylight,3,ALOHA ST AND QUEEN ANNE AVE N,0,1,Y,2,3345042,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10010019,8804,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.62719238600005, -122.35668955499995 ",30638,0,N,10-10714
966,115548,115548,Block,Cycles,182.5,,,0,,08/13/2010 12:00:00 AM +0000,8/13/2010 17:27,1,,Mid-Block (not related to intersection),Daylight,3,N 45TH ST BETWEEN STONE WAY N AND INTERLAKE AVE N,0,1,,3,3559210,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10225022,15542,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.66138544200004, -122.34140593799998 ",6445,0,N,2010-282363
977,115131,115131,Block,Cycles,131.5,,,0,,03/06/2010 12:00:00 AM +0000,3/6/2010 8:37,1,,Mid-Block (but intersection related),Daylight,3,NE 68TH ST BETWEEN 27TH AVE NE AND 28TH AVE NE,0,1,,2,3327816,Dry,1,54,PEDALCYCLIST STRUCK MOTOR VEHICLE REAR END,10065001,17345,0,2,Injury Collision,Y,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.67759453800005, -122.29791616799997 ",0,0,N,10-74681
1015,115689,115689,Intersection,Cycles,0,,,0,,09/13/2010 12:00:00 AM +0000,9/13/2010 10:46,1,30447,At Intersection (intersection related),Daylight,3,8TH AVE S AND S DEARBORN ST,0,1,Y,2,3346022,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10256003,19830,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.59583116700003, -122.32245866299996 ",5851,0,N,10-320876
1035,114456,114456,Block,Cycles,165.5,,,0,,06/26/2010 12:00:00 AM +0000,6/26/2010 17:55,1,,Mid-Block (not related to intersection),Daylight,3,NW 80TH ST BETWEEN 31ST AVE NW AND 32ND AVE NW,0,1,,2,3333984,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10177034,18916,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.68674506100007, -122.39763993699995 ",0,0,N,10-217415
1043,116370,116370,Intersection,Cycles,0,,,0,,05/13/2010 12:00:00 AM +0000,5/13/2010 16:50,1,31344,At Intersection (intersection related),Daylight,3,1ST AVE S AND S MASSACHUSETTS ST,0,1,Y,2,2906817,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10133001,1204,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.58822858900004, -122.33419664299998 ",5266,0,N,10-156853
1055,115142,115142,Block,Cycles,276,,,0,,05/04/2010 12:00:00 AM +0000,5/4/2010 14:30,1,,Mid-Block (not related to intersection),Daylight,3,11TH AVE NE BETWEEN NE 50TH ST AND NE 52ND ST,0,1,,2,3333538,Dry,1,56,PEDALCYCLIST STRUCK MOTOR VEHICLE LEFT SIDE SIDESWIPE,10124004,1411,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Overcast," 47.665682841000034, -122.31632470199997 ",9026,0,N,10-145345
1063,115421,115421,Intersection,Cycles,0, ,,0,,09/13/2010 12:00:00 AM +0000,9/13/2010 18:35,1,36586,At Intersection (intersection related),Dusk,4,1ST AVE NE AND NE NORTHGATE WAY,0,1,,2,3377023,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10256005,1099,0,2,Injury Collision,,45,Bicycle,Matched,0,1,Clear or Partly Cloudy," 47.708628720000036, -122.328634266 ",0,630873,N,10-321410
1092,114725,114725,Block,Cycles,269,,,0,Y,04/27/2010 12:00:00 AM +0000,4/27/2010 18:00,1,,Mid-Block (not related to intersection),Daylight,3,UNIVERSITY WAY NE BETWEEN NE 43RD ST AND NE 45TH ST,0,1,,2,2893707,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10117004,13221,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.66053087600005, -122.31314903299995 ",5652,0,N,10-137190
1130,115698,115698,Intersection,Cycles,0, ,,0,,04/05/2010 12:00:00 AM +0000,4/5/2010 10:19,1,27149,At Intersection (intersection related),Daylight,3,15TH AVE NE AND NE PACIFIC ST,0,1,Y,2,3333208,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10095027,2028,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.65297596400006, -122.31246414499998 ",0,520838,N,10-110181
1195,115011,115011,Intersection,Cycles,0, ,,0,,10/26/2010 12:00:00 AM +0000,10/26/2010 19:23,1,27244,At Intersection (intersection related),Dark - Street Lights On,1,LATONA AVE NE AND NE PACIFIC ST,0,1,Y,2,3565692,Wet,2,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10299011,11289,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Overcast," 47.65488891200005, -122.32570273399995 ",0,576113,N,2010-374412
1287,115973,115973,Intersection,Cycles,0,,,0,,05/08/2010 12:00:00 AM +0000,5/8/2010 21:40,1,30581,At Intersection (intersection related),Dark - Street Lights On,1,26TH AVE AND E YESLER WAY,0,1,Y,2,3199527,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10128003,3828,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.60166062600007, -122.29891734099999 ",10069,0,N,2010-150969
1302,114880,114880,Block,Cycles,75.5, ,,0,,06/18/2010 12:00:00 AM +0000,6/18/2010 17:37,1,,Mid-Block (not related to intersection),Daylight,3,5TH AVE NE BETWEEN NE 112TH S ST AND NE 112TH N ST,0,1,,3,3333749,Dry,1,54,PEDALCYCLIST STRUCK MOTOR VEHICLE REAR END,10169029,7257,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.70978682000003, -122.32331016799998 ",0,0,N,2010-206666
1319,114466,114466,Intersection,Cycles,0,,,0,,04/11/2010 12:00:00 AM +0000,4/11/2010 16:41,1,30174,At Intersection (intersection related),Daylight,3,22ND AVE AND E CHERRY ST,0,1,,2,3329146,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10101001,3229,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.60801107700007, -122.30372151999995 ",9559,0,N,2010-117642
1380,115979,115979,Block,Cycles,124.5,,,0,,10/22/2010 12:00:00 AM +0000,10/22/2010 20:25,1,,Mid-Block (not related to intersection),Dark - Street Lights On,1,NE 45TH ST BETWEEN 1ST AVE NE AND 2ND AVE NE,0,1,Y,3,3374791,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10295035,16838,0,2,Injury Collision,,45,Bicycle,Matched,Y,1,Clear or Partly Cloudy," 47.661357277000036, -122.32775751099996 ",6532,0,N,2010-369961
1410,116259,116259,Block,Cycles,1311.5,,,0,,02/02/2010 12:00:00 AM +0000,2/2/2010,1,,Mid-Block (not related to intersection),Daylight,3,16TH AVE SW BETWEEN SW FINDLAY ST AND SW MORGAN ST,0,1,,2,2803738,Dry,1,54,PEDALCYCLIST STRUCK MOTOR VEHICLE REAR END,10033019,2332,0,2,Injury Collision,,45,Bicycle,Matched,0,1,Clear or Partly Cloudy," 47.54832347300004, -122.35483730699997 ",1550,0,N,2010-37840
1417,115713,115713,Intersection,Cycles,0,NEI,"Not Enough Information, or Insufficient Location Information",0,,06/12/2010 12:00:00 AM +0000,6/12/2010 8:29,1,29614,At Intersection (intersection related),Daylight,3,2ND AVE AND MADISON ST,0,1,Y,2,3326818,Dry,1,0,NOT ENOUGH INFORMATION / NOT APPLICABLE,10163020,2753,1,2b,Serious Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.60515932100003, -122.33512927299995 ",12119,0,N,10-198127
1419,114750,114750,Intersection,Cycles,0,,,0,,12/09/2010 12:00:00 AM +0000,12/9/2010 7:18,1,28006,At Intersection (intersection related),Dawn,2,WESTLAKE EAST RDWY AVE N AND NEWELL ST,0,1,Y,2,3377776,Wet,2,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10343004,13557,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Raining," 47.64409158900003, -122.34468815199995 ",0,0,N,10-423845
1423,114624,114624,Intersection,Cycles,0,,,0,,07/14/2010 12:00:00 AM +0000,7/14/2010 16:40,1,29585,At Intersection (intersection related),Daylight,3,1ST AVE AND PINE ST,0,1,Y,2,3346533,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10195032,1010,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.60981423000004, -122.34092204399997 ",36650,0,N,10-243041
1474,115024,115024,Block,Cycles,319,,,0,Y,07/14/2010 12:00:00 AM +0000,7/14/2010 21:00,1,,Mid-Block (not related to intersection),Dusk,4,EAST GREEN LAKE DR N BETWEEN LATONA AVE NE AND SUNNYSIDE AVE N,0,1,,2,3374805,Dry,1,56,PEDALCYCLIST STRUCK MOTOR VEHICLE LEFT SIDE SIDESWIPE,10195031,14060,1,2b,Serious Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.68225292200003, -122.32843386299999 ",7304,0,N,10-243448
1523,115859,115859,Intersection,Cycles,0,,,0,,09/22/2010 12:00:00 AM +0000,9/22/2010 11:57,1,25939,At Intersection (intersection related),Daylight,3,25TH AVE NE AND NE 55TH ST,0,1,Y,2,3296621,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10265019,3725,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.668525748000036, -122.30061895399996 ",18807,0,N,2010 331955
1540,115990,115990,Block,Cycles,481.5,,,0,Y,01/22/2010 12:00:00 AM +0000,1/22/2010 15:59,1,,Mid-Block (but intersection related),Daylight,3,YESLER WAY BETWEEN 6TH AVE AND 8TH AVE,0,1,,2,3334804,Dry,1,54,PEDALCYCLIST STRUCK MOTOR VEHICLE REAR END,10022005,13767,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.60170911700004, -122.32440089999994 ",9977,0,N,10-25056
1548,114482,114482,Intersection,Cycles,0, ,,0,,10/22/2010 12:00:00 AM +0000,10/22/2010 16:27,0,30482,At Intersection (intersection related),Daylight,3,2ND AVE AND JAMES ST,0,1,,2,3329930,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10295034,2749,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Overcast," 47.60230560100007, -122.33251943999994 ",0,523248,N,2010-369696
1693,114359,114359,Intersection,Cycles,0, ,,0,,06/03/2010 12:00:00 AM +0000,6/3/2010 11:40,1,25482,At Intersection (intersection related),Daylight,3,KENWOOD PL N AND EAST GREEN LAKE WAY N,1,1,Y,2,2897154,Dry,1,24,MOTOR VEHCILE STRUCK PEDESTRIAN,10154027,14074,0,2,Injury Collision,,45,Bicycle,Matched,N,0,Clear or Partly Cloudy," 47.672184092000066, -122.33762007199999 ",0,524207,N,10-185469
1772,115740,115740,Intersection,Cycles,0,,,0,,10/06/2010 12:00:00 AM +0000,10/6/2010 19:04,1,29970,At Intersection (intersection related),Dark - Street Lights On,1,3RD AVE AND COLUMBIA ST,0,1,Y,2,3383704,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10279031,4377,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.60419712100003, -122.33271437899998 ",35884,0,N,10-350118
1811,116141,116141,Intersection,Cycles,0,,,0,,04/16/2010 12:00:00 AM +0000,4/16/2010 16:41,1,31361,At Intersection (intersection related),Daylight,3,6TH AVE S AND S STACY ST,0,1,Y,2,3336027,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10106001,7994,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.581892552000056, -122.32597519399997 ",19329,0,N,10-123875
1886,115751,115751,Intersection,Cycles,0,,,0,,10/26/2010 12:00:00 AM +0000,10/26/2010 9:50,1,30453,At Intersection (intersection related),Daylight,3,GOLF DR S AND S CHARLES ST,0,1,Y,2,3386905,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10299035,10668,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Overcast," 47.594281684000066, -122.31657709199999 ",14097,0,N,10-373843
